ID, Function Call, Description
1,ct_c_lisen_thread-input_patient_info,输入患者检查项目
2,ct_c_lisen_thread-speak_voice_name,呼叫患者在扫描间开始检查
3,ct_c_lisen_thread-open_door,打开扫描间舱门
4,ct_c_lisen_thread-speak_voice,播放语音
5,ct_c_lisen_thread-count_bed_time,计算移床时间
6,ct_c_lisen_thread-pub_one_click,一键移床
7,ct_c_lisen_thread-delayed,延时，延迟num秒
8,ct_c_lisen_thread-pose_film_scanning,定位片扫描
9,ct_c_lisen_thread-adjust_range_scan,调整定位片范围
10,ct_c_lisen_thread-positive_film_scanning,正片扫描
11,ct_c_lisen_thread-hold_get_out_bed,扫描床归位
12,ct_c_lisen_thread-close_door,关闭舱门
13,ct_c_lisen_thread-task_over,任务结束
14,ct_c_lisen_thread-voice_1,双臂交叉向头顶伸直
15,ct_c_lisen_thread-voice_2,胳膊抱住头
16,ct_c_lisen_thread-voice_3,请上交预约单等舱门打开后进入扫描间
17,ct_c_lisen_thread-voice_4,请家属及无关人员去扫描间外等候
18,ct_c_lisen_thread-voice_5,请您不要动检查马上就好了
19,ct_c_lisen_thread-voice_6,请穿好衣服拿好随身物品回去等检查报告结果
20,ct_c_lisen_thread-voice_7,请脱掉外套摘掉身上的金属制品
21,ct_c_lisen_thread-voice_8,请躺在扫描床上头躺进头托里
22,ct_c_lisen_thread-voice_new_1,不用摘眼镜
23,ct_c_lisen_thread-voice_new_2,不要动检查马上结束
24,ct_c_lisen_thread-voice_new_3,检查完成请您回去等检查报告结果
25,ct_c_lisen_thread-voice_new_4,请不要动
26,ct_c_lisen_thread-voice_new_5,请双臂往中间收
27,ct_c_lisen_thread-voice_new_6,请您双手抱头
28,ct_c_lisen_thread-voice_new_7,请放下包包
29,ct_c_lisen_thread-voice_new_8,请躺在床上头躺进头托里脱掉鞋子
30,ct_c_lisen_thread-voice_new_9,请进入扫描间
31,ct_c_lisen_thread-voice_new_10,请家属出去等
32,ct_c_lisen_thread-voice_new_11,请脱掉鞋子
33,ct_c_lisen_thread-voice_new_12,请去调胸前的金属物品躺在床上头躺在头托里鞋子脱掉
34,ct_c_lisen_thread-voice_new_13,请您双手抱头
35,ct_c_lisen_thread-voice_new_14,视频动作1
36,ct_c_lisen_thread-voice_new_15,请把项链往上提其他别动
