ID, Door_State, People_Count, Posture_State, Interface_State, State
1, 0, 0, 0, 1, 当前大门是关闭的，舱内无人，患者姿势没有标准，联影屏幕状态为患者信息输入界面。接下来打开扫描间舱门，请planer指挥operator调用打开扫描间舱门接口。
2, 0, 0, 0, 2, 当前大门是关闭的，舱内无人，患者姿势没有标准，联影屏幕状态为输入进床深度和下界的界面。接下来打开扫描间舱门，请planer指挥operator调用打开扫描间舱门接口。
3, 0, 0, 0, 3, 当前大门是关闭的，舱内无人，患者姿势没有标准，联影屏幕状态为预备定位片扫描界面。接下来准备进行定位片扫描，请planer指挥operator调用定位片扫描接口。
4, 0, 0, 0, 4, 当前大门是关闭的，舱内无人，患者姿势没有标准，联影屏幕状态为调整定位片范围的界面。接下来准备调整定位片范围，请planer指挥operator调用调整定位片范围接口。
5, 0, 0, 0, 5, 当前大门是关闭的，舱内无人，患者姿势没有标准，联影屏幕状态为预备正片扫描的界面。接下来准备进行正片扫描，请planer指挥operator调用正片扫描接口。
6, 0, 0, 0, 6, 当前大门是关闭的，舱内无人，患者姿势没有标准，联影屏幕状态为预备扫描床归位的界面。接下来准备进行扫描床归位，请planer指挥operator调用扫描床归位接口。
7, 0, 0, 1, 1, 当前大门是关闭的，舱内无人，患者姿势已经标准，联影屏幕状态为患者信息输入界面。接下来打开扫描间舱门，请planer指挥operator调用打开扫描间舱门接口。
8, 0, 0, 1, 2, 当前大门是关闭的，舱内无人，患者姿势已经标准，联影屏幕状态为输入进床深度和下界的界面。接下来打开扫描间舱门，请planer指挥operator调用计算移床时间接口接口。
9, 0, 0, 1, 3, 当前大门是关闭的，舱内无人，患者姿势已经标准，联影屏幕状态为预备定位片扫描界面。接下来准备进行定位片扫描，请planer指挥operator调用定位片扫描接口。
10, 0, 0, 1, 4, 当前大门是关闭的，舱内无人，患者姿势已经标准，联影屏幕状态为调整定位片范围的界面。接下来准备调整定位片范围，请planer指挥operator调用调整定位片范围接口。
11, 0, 0, 1, 5, 当前大门是关闭的，舱内无人，患者姿势已经标准，联影屏幕状态为预备正片扫描的界面。接下来准备进行正片扫描，请planer指挥operator调用正片扫描接口。
12, 0, 0, 1, 6, 当前大门是关闭的，舱内无人，患者姿势已经标准，联影屏幕状态为预备扫描床归位的界面。接下来准备进行扫描床归位，请planer指挥operator调用扫描床归位接口。
13, 0, 1, 0, 1, 当前大门是关闭的，舱内有1个人，患者姿势没有标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
14, 0, 1, 0, 2, 当前大门是关闭的，舱内有1个人，患者姿势没有标准，联影屏幕状态为输入进床深度和下界的界面。接下来指导患者调整姿势，请planer指挥operator调用请您双手抱头接口。
15, 0, 1, 0, 3, 当前大门是关闭的，舱内有1个人，患者姿势没有标准，联影屏幕状态为预备定位片扫描界面。接下来准备进行定位片扫描，请planer指挥operator调用定位片扫描接口。
16, 0, 1, 0, 4, 当前大门是关闭的，舱内有1个人，患者姿势没有标准，联影屏幕状态为调整定位片范围的界面。接下来准备调整定位片范围，请planer指挥operator调用调整定位片范围接口。
17, 0, 1, 0, 5, 当前大门是关闭的，舱内有1个人，患者姿势没有标准，联影屏幕状态为预备正片扫描的界面。接下来准备进行正片扫描，请planer指挥operator调用正片扫描接口。
18, 0, 1, 0, 6, 当前大门是关闭的，舱内有1个人，患者姿势没有标准，联影屏幕状态为预备扫描床归位的界面。接下来准备进行扫描床归位，请planer指挥operator调用扫描床归位接口。
19, 0, 1, 1, 1, 当前大门是关闭的，舱内有1个人，患者姿势已经标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
20, 0, 1, 1, 2, 当前大门是关闭的，舱内有1个人，患者姿势已经标准，联影屏幕状态为输入进床深度和下界的界面。接下来计算移床时间，请planer指挥operator调用计算移床时间接口。
21, 0, 1, 1, 3, 当前大门是关闭的，舱内有1个人，患者姿势已经标准，联影屏幕状态为预备定位片扫描界面。接下来准备进行定位片扫描，请planer指挥operator调用定位片扫描接口。
22, 0, 1, 1, 4, 当前大门是关闭的，舱内有1个人，患者姿势已经标准，联影屏幕状态为调整定位片范围的界面。接下来准备调整定位片范围，请planer指挥operator调用调整定位片范围接口。
23, 0, 1, 1, 5, 当前大门是关闭的，舱内有1个人，患者姿势已经标准，联影屏幕状态为预备正片扫描的界面。接下来准备进行正片扫描，请planer指挥operator调用正片扫描接口。
24, 0, 1, 1, 6, 当前大门是关闭的，舱内有1个人，患者姿势已经标准，联影屏幕状态为预备扫描床归位的界面。接下来准备进行扫描床归位，请planer指挥operator调用扫描床归位接口。
25, 0, 2, 0, 1, 当前大门是关闭的，舱内有多个人，患者姿势没有标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
26, 0, 2, 0, 2, 当前大门是关闭的，舱内有多个人，患者姿势没有标准，联影屏幕状态为输入进床深度和下界的界面。接下来播报家属出去等并打开扫描间舱门，请planer指挥operator调用请家属出去等接口。
27, 0, 2, 0, 3, 当前大门是关闭的，舱内有多个人，患者姿势没有标准，联影屏幕状态为预备定位片扫描界面。接下来播报家属出去等并打开扫描间舱门，请planer指挥operator调用请家属出去等接口。
28, 0, 2, 0, 4, 当前大门是关闭的，舱内有多个人，患者姿势没有标准，联影屏幕状态为调整定位片范围的界面。接下来播报家属出去等并打开扫描间舱门，请planer指挥operator调用请家属出去等接口。
29, 0, 2, 0, 5, 当前大门是关闭的，舱内有多个人，患者姿势没有标准，联影屏幕状态为预备正片扫描的界面。接下来播报家属出去等并打开扫描间舱门，请planer指挥operator调用请家属出去等接口。
30, 0, 2, 0, 6, 当前大门是关闭的，舱内有多个人，患者姿势没有标准，联影屏幕状态为预备扫描床归位的界面。接下来播报家属出去等并打开扫描间舱门，请planer指挥operator调用请家属出去等接口。
31, 0, 2, 1, 1, 当前大门是关闭的，舱内有多个人，患者姿势已经标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
32, 0, 2, 1, 2, 当前大门是关闭的，舱内有多个人，患者姿势已经标准，联影屏幕状态为输入进床深度和下界的界面。接下来打开扫描间舱门，请planer指挥operator调用打开扫描间舱门接口。
33, 0, 2, 1, 3, 当前大门是关闭的，舱内有多个人，患者姿势已经标准，联影屏幕状态为预备定位片扫描界面。接下来播报家属出去等并打开扫描间舱门，请planer指挥operator调用请家属出去等接口。
34, 0, 2, 1, 4, 当前大门是关闭的，舱内有多个人，患者姿势已经标准，联影屏幕状态为调整定位片范围的界面。接下来播报家属出去等并打开扫描间舱门，请planer指挥operator调用请家属出去等接口。
35, 0, 2, 1, 5, 当前大门是关闭的，舱内有多个人，患者姿势已经标准，联影屏幕状态为预备正片扫描的界面。接下来播报家属出去等并打开扫描间舱门，请planer指挥operator调用请家属出去等接口。
36, 0, 2, 1, 6, 当前大门是关闭的，舱内有多个人，患者姿势已经标准，联影屏幕状态为预备扫描床归位的界面。接下来播报家属出去等并打开扫描间舱门，请planer指挥operator调用请家属出去等接口。
37, 1, 0, 0, 1, 当前大门是打开的，舱内无人，患者姿势没有标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
38, 1, 0, 0, 2, 当前大门是打开的，舱内无人，患者姿势没有标准，联影屏幕状态为输入进床深度和下界的界面。接下来播报患者请去调胸前的金属物品躺在床上头躺在头托里鞋子脱掉。请planer指挥operator调用请去调胸前的金属物品躺在床上头躺在头托里鞋子脱掉接口。
